place,county,exchange_rate,latitude,longitude
Amsterdam,Netherlands,1,52.370216,4.895168
Austin,USA,0.9883,30.267153,-97.743057
Bangkok,Thailand,38.2034,13.756331,100.501762
Barcelona,Spain,1,41.385063,2.173404
Beijing,China,7.1703,39.904202,116.407394
Berlin,Germany,1,52.5170365,13.3888599
Bordeaux,France,1,44.841225,0.5800364
Boston,USA,0.9883,42.3554334,71.060511
Brussels,Belgium,1,50.8465573,4.351697
Buenos_Aires,Argentina,154.75,34.6075682,-58.4370894
Cape-Town,South Africa,18.4756,-33.928992,18.417396
Chicago,USA,0.9883,41.8755616,-87.6244212
Copenhagen,Denmark,7.4444,55.6867243,12.5700724
Denver,USA,0.9883,39.7392364,-104.984862
Dublin,Ireland,1,53.3498006,-6.2602964
Edinburgh,UK,0.8585,55.9533456,-3.1883749
Florence,Italy,1,43.7698712,11.2555757
Geneva,Switzerland,0.9936,46.2017559,6.1466014
Hawaii,USA,0.9883,19.5938015,-155.4283701
Hongkong,China,7.1703,22.2793278,114.1628131
Istanbul,Turkey,18.7174,41.0091982,28.9662187
Lisbon,Portugal,1,38.7077507,-9.1365919
London,UK,0.8585,51.5073359,-0.12765
Los-Angeles,USA,0.9883,34.0536909,-118.242766
Lyon,France,1,45.7578137,4.8320114
Madrid,Spain,1,40.4167047,-3.7035825
Mallorca,Spain,1,39.613432,2.8803536
Melbourne,Australia,0.6446,-37.8142176,144.9631608
Mexico-City,Mexico,19.6399,19.4326296,-99.1331785
Milan,Italy,1,45.4641943,9.1896346
Montreal,Canada,1.3502,45.5031824,-73.5698065
Munich,Germany,1,48.1371079,11.5753822
New-Orleans,USA,0.9883,29.9759983,-90.0782127
New-York,USA,0.9883,40.7127281,-74.0060152
Oslo,Norway,10.357,59.9133301,10.7389701
Paris,France,1,48.856614,2.352221
Prague,Czechia,24.485,50.0596288,14.4464593
Quebec,Canada,1.3502,52.4760892,-71.8258668
Rhode-Island,USA,0.9883,41.7962409,-71.5992372
Riga,Latvia,1,56.9493977,24.1051846
Rio,Brazil,5.1976,-22.9110137,-43.2093727
Rome,Italy,1,41.8933203,12.4829321
Rotterdam,Netherlands,1,51.9244424,4.47775
San-Diego,USA,0.9883,32.7174202,-117.1627728
San-Francisco,USA,0.9883,37.7790262,-122.419906
Santiago,Chile,943.61,-33.4377756,-70.6504502
Seattle,USA,0.9883,47.6038321,-122.330062
Sevilla,Spain,1,37.3886303,-5.9953403
Shanghai,China,7.1703,31.2322758,121.4692071
Sicilia,Italy,1,37.587794,14.155048
Singapore,Singapore,1.4063,1.357107,103.8194992
Stockholm,Sweden,10.9598,59.3251172,18.0710935
Sydney,Australia,0.6446,-33.8698439,151.2082848
Taipei,Taiwan,31.8,25.0375198,121.5636796
Tokio,Japan,149.09,35.6812665,139.757653
Toronto,Canada,1.3502,43.6534733,-79.383961
Vancouver,Canada,1.3502,49.2608724,-123.113952
Venice,Italy,1,45.4371908,12.3345898
Vienna,Austria,1,48.2083537,16.3725042
Washington,USA,0.9883,38.8950368,-77.0365427
Zurich,Switzerland,0.9936,47.3744489,8.5410422
